ER	na	na	na	na	na	na	na	+	+	-	+	-	-	-	+	-	-	-	-	-	-	-	+	+	-	+	-	-	-	-	-	-	+	+	+	-	+	+
id	Gene_ID	FID	Seq_Name	EnsEMBL_Gene_ID	gid.ens	gid.gs	Gene	BT474	BT483	BT549	CAMA1	DU4475	HCC1143	HCC1395	HCC1419	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC70	HS578T	MCF7	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM149PT	SUM190PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR7530
ENSG00000154316 + G10010 TDH ENSG00000154316 157739 157739 157739 2.40407377078305 1.78729247250697 0 0 0.521848419890885 0 0 2.93612387242473 1.02721100448275 0.954746522315257 0 1.14787287152778 1.59343267030465 0 0 2.63542170342542 0.160613219058806 0 3.71043280688623 2.23258809282656 0 0 0.537068082584111 1.49934262202393 0 1.27781176011392 3.19615180104673 2.79405917340502 0 2.11676351509175 1.12572530875936
ENSG00000157827 + G10419 FMNL2 ENSG00000157827 114793 114793 114793 2.65075009816312 2.89330696873838 5.95052188357613 3.28553009063546 6.98839635764843 6.72153077667303 6.50490603787269 2.25067720201524 6.2580699336557 6.21129367473145 6.71183753102954 6.53151085482614 4.19014210523567 4.99348491718239 5.24619942361822 3.32278478997775 4.07456983003241 6.76819808331009 1.78140618337899 2.32219115237445 3.15219491813257 5.00190421060708 3.18240398063087 4.25221193035149 5.09909758294438 4.5761663532828 2.33388432614502 2.44127598718796 4.29478009656124 2.55971104473563 3.09773879224566
ENSG00000158258 - G10476 CLSTN2 ENSG00000158258 64084 64084 64084 6.12164962553663 6.78166531684013 1.18765345371235 8.69814236478181 0.335361982329599 5.67143502682759 2.67393112018135 4.86115918045395 0 0 2.50877243520823 1.38116451307356 0 0 2.17577483854572 6.58521315449006 3.90523094098103 0 4.63674566034641 6.44501639305432 0.598417170377479 0.847520881974433 0.559703334235168 2.8968433583429 0 1.61322361081894 4.75886551594795 7.23153554220166 0.613533305038537 4.88557952036199 2.06500476661217
ENSG00000160180 + G10718 TFF3 ENSG00000160180 7033 7033 7033 11.1886952569449 12.8488649155426 0 6.32984666776293 2.97971132678533 0.974414048733406 0.985995470576672 13.1896042625714 1.83374204980679 0 0.535746051048994 1.76818710389727 9.65351352343183 0 1.8516838373015 8.77598549436068 12.8412736230772 5.88528921408323 12.3423152363663 6.30955849418638 5.0466653194337 0 6.52429757346972 6.52828190125571 0 0.691962019111522 8.90414364599019 15.7550742762119 10.0900130575934 12.4151002051857 10.6598542529723
ENSG00000160182 - G10720 TFF1 ENSG00000160182 7031 7031 7031 12.1442268686563 15.3071620730685 0 8.121148313012 2.51172454804243 1.57192213623235 0 12.8985284858215 1.93328798805258 1.52281797603151 4.01551208202553 4.02938380337113 8.06433278703114 0 3.30806368025623 14.3712199083379 10.5332773896758 4.59435289808862 14.5594291761194 6.05582464789206 3.18782075955743 2.52714131433758 2.82301085467225 2.66412354654101 2.57339840580838 1.43338666626639 3.98265581048189 16.1220854238314 9.39082155480723 11.9575844997006 2.78513068821594
ENSG00000162415 + G11031 ZSWIM5 ENSG00000162415 57643 57643 57643 2.03389319757092 4.93838298347856 0.680924671522201 2.83802712958599 5.69538983567144 2.87019704873045 0.603675279042876 5.01393767739372 1.10464187294413 0.332009752696284 0.978330633403126 2.85300529697562 1.8731533969467 0 2.4004645438318 5.76019221021849 4.33984733351874 2.3960366929042 3.70996286669703 2.2482324802735 4.05538949805384 0.0901542548547641 1.91780082373871 3.13653637449778 1.09590130233796 4.78099867770939 3.72650284208277 4.90391306099168 0.771477300492899 3.81846157395784 3.84850481924545
ENSG00000162755 + G11131 KLHDC9 ENSG00000162755 126823 126823 126823 4.88961978943296 6.17724267969944 0 6.34218408760651 5.37002760278616 1.52383629930497 2.61190541973572 4.28802562454234 0.592163529718278 0 1.76996097107016 0.608533931841509 6.55182622410409 0.323416422151511 0.561190064084392 4.52739553356837 5.11675649313137 1.04404894848318 4.57439256692073 4.70702926272561 2.83232141737368 2.54855986640315 1.34103943994854 0 3.93031957392785 5.5464474495519 6.86925431024597 7.80752689948423 6.41736903995647 7.3624055476983 3.65621801628642
ENSG00000162976 - G11189 PQLC3 ENSG00000162976 130814 130814 130814 7.54070316415804 8.39094134577754 4.70209728041668 6.99376231738191 2.68967546952356 4.53053739217352 5.23265002183304 8.22533607153139 6.99483914119606 3.85529593973431 4.32835069108674 6.17893258902447 7.7186096302867 6.85171843971726 4.1950811620402 7.20794439481453 6.51786573660462 5.76042868805129 5.21343374510205 3.14035590186758 7.13123384589141 5.23630139134397 6.47435465873073 4.84790878797814 4.05509250991396 6.83418959186734 8.38243554814526 8.61741559216318 6.76763946851746 8.46661082151329 6.68925490450731
ENSG00000163704 - G11423 PRRT3 ENSG00000163704 285368 285368 285368 4.95089206912634 5.81527724952272 5.0674700187205 4.50062173875909 3.84617396748982 4.80988253197495 3.67151747657172 6.06605911314165 3.70013814594811 3.14588861661626 3.30009764336555 2.00527604603946 6.25520757958838 3.05039580408047 3.94233799460183 6.30812965727441 6.01211860666011 3.01605279051881 6.81561862608138 6.2474711814876 6.76577557999659 4.2813650003947 4.20188493183139 3.5371261536367 4.33142587527131 6.58076043769799 5.38060954311463 8.46085980628114 5.40789362509734 6.74703852713489 6.98506894111375
